player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_sac_fly,last_name,first_name
678554,2025,24,240,264,56,42,10,1,3,63,15,23.9,5.7,0.233,0.321,0.299,0.62,19,77,1,5,1,Mead, Curtis
678662,2025,23,360,390,91,60,18,4,9,98,21,25.1,5.4,0.253,0.4,0.294,0.694,33,144,3,5,2,Tovar, Ezequiel
678877,2025,23,148,153,24,16,2,0,6,52,4,34.0,2.6,0.162,0.297,0.183,0.48,13,44,0,0,1,Noel, Jhonkensy
678882,2025,24,546,587,136,82,34,4,16,117,28,19.9,4.8,0.249,0.414,0.295,0.709,63,226,5,20,2,Rafaela, Ceddanne
679032,2025,24,152,172,34,28,3,2,1,40,13,23.3,7.6,0.224,0.289,0.28,0.569,18,44,2,12,3,Rojas, Johan
679529,2025,25,563,649,135,76,27,1,31,169,72,26.0,11.1,0.24,0.456,0.333,0.789,78,257,1,2,5,Torkelson, Spencer
679845,2025,26,168,188,35,20,9,2,4,27,14,14.4,7.4,0.208,0.357,0.278,0.635,20,60,1,1,2,Loftin, Nick
680474,2025,28,183,213,36,28,4,2,2,35,22,16.4,10.3,0.197,0.273,0.295,0.568,13,50,1,7,1,Schuemann, Max
680574,2025,25,510,577,112,79,18,0,15,167,55,28.9,9.5,0.22,0.343,0.3,0.643,50,175,2,18,4,McLain, Matt
680718,2025,25,460,502,112,58,32,1,21,121,36,24.1,7.2,0.243,0.454,0.301,0.755,74,209,1,4,2,Barger, Addison
680757,2025,27,625,693,170,129,29,1,11,60,55,8.7,7.9,0.272,0.374,0.33,0.704,56,234,5,21,7,Kwan, Steven
680776,2025,28,620,696,159,89,41,13,16,169,60,24.3,8.6,0.256,0.442,0.332,0.774,84,274,6,24,3,Duran, Jarren
680777,2025,28,406,464,108,73,26,0,9,91,50,19.6,10.8,0.266,0.397,0.356,0.753,47,161,1,1,1,Jeffers, Ryan
