"last_name, first_name","player_id","year","player_age","avg_swing_speed","fast_swing_rate","avg_swing_length","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_contact_percent","sprint_speed"
"Fraley, Jake",641584,2023,28,"71.7",16.3,"7.1",10.2,-7.7,37.7,38.9,"84.6","16.5",38,6.4,7.1,26.7,29.7,4.5,30.8,75.5,16.6,30.1,58.4,"28.0"
"Garver, Mitch",641598,2023,32,"70.8",11,"7.1",12.2,-4,65.4,29.5,"90","20.5",35.5,12.6,7.9,35.5,21.5,1.9,42.1,61.9,16.1,17.4,49.6,"25.7"
"Hampson, Garrett",641658,2023,28,"67.4",0.6,"6.8",9.5,0.8,49.7,31.6,"86.6","11.8",37.1,3.1,5.7,23.3,30.2,8.8,28.3,59.4,16.8,25.6,49.6,"29.8"
"Heim, Jonah",641680,2023,28,"68.4",2.6,"7.3",11,2.9,57.3,29.1,"89.2","17.3",34.3,8,6.9,31.6,25.5,2.5,38.5,73.8,16.8,30.5,63.7,"25.8"
"Mancini, Trey",641820,2023,31,"72.7",15.9,"7.8",12.8,-2.2,61.9,34.2,"88.9","12.3",32.5,3.8,8.8,23.1,36.3,2.5,40.6,68.6,24.4,31.3,49.4,"25.4"
"McMahon, Ryan",641857,2023,28,"72.2",23.1,"7.3",8.8,4.3,39.7,38.6,"90.8","9.7",39.4,11.4,6.4,20.3,28.3,4.2,44.2,67.6,26.4,25.4,50.6,"25.8"
"O'Neill, Tyler",641933,2023,28,"72.4",24.6,"7",12.1,-2.2,54.6,33.6,"89.2","15",29.2,12.3,5.8,26.3,27.5,4.1,43.3,66.7,18.5,25.3,50.4,"28.5"
"Palacios, Joshua",641943,2023,27,"71.5",21.3,"7.2",8.8,-1.9,51.6,31.4,"91.3","7.7",30.9,9.8,5.2,19.6,38.1,3.6,45.4,72.4,20.4,30.3,57.4,"28.2"
"Smith, Dominic",642086,2023,28,"68.6",5.9,"7",11.7,-3.3,56.9,34.3,"86.3","12.8",37,6.6,3.7,28.3,31.7,4.1,30.8,68.7,13.8,30.3,66.8,"25.8"
"Tellez, Rowdy",642133,2023,28,"74.6",48.4,"8",5.3,-7.7,54.7,29,"89.9","15.2",35.7,8.7,7.8,29.6,27.4,2.6,40.4,52.9,14.6,24.2,62.1,"23.5"
"Thaiss, Matt",642136,2023,28,"73.4",37.9,"7.9",11.8,1.1,61,30,"88.5","9.2",34.6,10.4,6.6,23.1,31.3,5.5,40.7,72.3,29.5,19,47.4,"24.7"
"Mejía, Francisco",642336,2023,27,"67.8",0,"7",10.5,-7.9,54.2,31.2,"87.5","18.9",33,4.3,7,37.4,27.8,2.6,32.2,71.2,16.7,48.8,70.5,"26.3"
"Siri, Jose",642350,2023,27,"73.3",31.6,"7.9",14.3,-3.3,45.2,33.6,"88.4","14.4",33,13.2,4.7,28.3,27.8,6.6,37.7,69.7,29.6,37.9,41.9,"29.7"
"Rosario, Amed",642708,2023,27,"71.3",15.2,"7.2",4,-1.1,38.2,28.8,"88.3","7.6",33.8,3.4,5.8,22,38.2,2.7,39.4,69.2,14.3,39.4,63.2,"29.4"
"Adames, Willy",642715,2023,27,"72.5",24.3,"8.2",16.2,-4.3,47.6,34.3,"87.4","18.2",35,12.4,4.1,30.2,23.9,6.3,36.5,71.6,20.7,31.8,49.4,"27.6"
"Estrada, Thairo",642731,2023,27,"70.3",13.3,"7.3",10.3,-4.7,52.2,31.8,"85.9","10.8",34.7,4.8,3.7,24.1,30.8,8.8,33.7,67.3,10.7,38,61.7,"28.1"
"Benintendi, Andrew",643217,2023,28,"67.1",2.3,"6.6",10.9,6.7,56.6,34.8,"86.6","14.5",40.9,2.9,3.4,30.2,28.7,3.8,27,70.4,16,26.6,71.6,"27.3"
"Cooper, Garrett",643265,2023,32,"73.8",37.9,"7.7",9.9,-0.2,46.6,40.5,"89","13.3",40.4,10.3,7.5,21.6,29.1,3.8,41.1,66.9,20.2,39.6,53.8,"26.3"
"Dubón, Mauricio",643289,2023,28,"69.8",12.2,"7.6",4.4,2.8,43.5,33.1,"87","9.5",37,4.5,5.3,24,37.3,3,29.5,76.1,14,40.8,75.4,"28.1"
"Jansen, Danny",643376,2023,28,"71",13.7,"6.8",12.1,-4.8,61.9,28.6,"88.3","19.7",35.4,10.7,7.8,35,24.8,2.9,37.4,69.4,16.1,24.9,58.7,"27.1"
"Kemp, Tony",643393,2023,31,"65",0.4,"6.8",9.5,-2,58,32.9,"86.7","10",31.3,1.2,5.8,26.7,35.6,8.5,20.4,66.2,11.1,23.6,74.7,"26.2"
"Kiner-Falefa, Isiah",643396,2023,28,"67.6",0.9,"6.9",5.7,4.1,41.6,32.3,"88.8","7.2",33.5,3.1,5,20,40,4.2,39.2,61.2,11.7,26.5,59.7,"27.7"
"McNeil, Jeff",643446,2023,31,"68.2",2.6,"6.9",7.4,-2.9,46.7,32.2,"86","14.4",32.1,1.3,5.7,30.6,30.4,6.8,27.4,75.9,7.4,29.9,70.9,"27.4"
"Tauchman, Mike",643565,2023,32,"68.4",4.4,"6.8",2.9,7.9,33.1,34.4,"88.4","8.1",37.6,5.5,5.5,18.4,35.7,4.3,40,64.4,18.9,18.8,56.3,"27.3"
"Albies, Ozzie",645277,2023,26,"70",11,"7.3",13.8,-7,60.7,34.3,"88.7","16.6",37.4,8.2,10.5,27.4,28.2,2,39,77.9,13.3,35.1,65.9,"27.6"
"Ford, Mike",645801,2023,30,"71.1",14.6,"7.1",15.2,-9.5,55.6,29.2,"88.8","21",33.1,17.3,5,33.1,21.6,5,44.6,64.6,19.6,22.9,41.9,"24.5"
"Devers, Rafael",646240,2023,26,"73.4",34.5,"7.5",9.8,0.2,62.1,26.8,"93.1","12.4",30,12.7,8.5,24.1,32.4,2.2,55.1,77.1,23.8,32.5,69.3,"26.0"
"Naylor, Josh",647304,2023,26,"73.2",35.9,"7.5",7.3,-2.2,45.8,30,"89.1","12.3",35.5,8.2,6.9,25.1,29.7,3.6,41.2,76.4,11.7,39.5,66.7,"25.8"
"Díaz, Aledmys",649557,2023,32,"70.8",8.6,"7.6",5.7,-6.7,54,27.8,"87.8","11.3",27.6,2.8,7.1,25.2,39.4,3.1,33.5,70.2,14.5,34.3,60.7,"26.0"
"Urías, Luis",649966,2023,26,"67.9",3.2,"7.7",19.4,-3.2,47.5,31,"84.9","14.7",23.3,5.8,4.9,30.1,33,7.8,30.1,55.6,18.1,24.3,54.9,"26.0"
"Arraez, Luis",650333,2023,26,"63.8",0.2,"5.9",7.3,5.9,49.8,38.6,"88.3","11.5",44.7,3.5,3.7,24.8,30.7,3.5,25.7,68.6,5.8,31.8,87.2,"26.1"
"Jiménez, Eloy",650391,2023,26,"75.3",52.6,"7.3",6,-4.2,48.8,24.7,"90.9","5.7",26,9.3,5.2,19.7,41.4,3,46.8,71.3,18.1,36.6,52.4,"26.5"
"Torres, Gleyber",650402,2023,26,"71.6",22.5,"7.3",11.1,2.1,57.4,34.3,"89.7","15.1",37.3,7.9,7.5,27.4,29,2.8,40.3,69,16.4,25.9,64.6,"26.4"
"Castro, Willi",650489,2023,26,"72.1",24.2,"7.3",7.1,-6.8,41.8,38.5,"86.5","15.1",34.5,6.8,4.9,29.2,27.7,9.1,31.8,69,17.8,34.6,52.5,"28.6"
"Díaz, Yandy",650490,2023,31,"73.9",41.5,"7.5",4.3,5.7,44.6,25.9,"93.4","5.7",30.5,9.5,6.5,17.1,36.3,3,54,65.5,11.9,19.7,60.1,"26.6"
"De La Cruz, Bryan",650559,2023,26,"72.2",23.9,"7.7",12.6,-0.6,55.1,38.1,"89.9","11.8",41,8.8,7.2,23.1,30.5,2.3,42.5,68.2,21.7,34.3,59.4,"27.7"
"Rengifo, Luis",650859,2023,26,"71",13.8,"7.3",9.8,-0.3,54.1,33.9,"89.1","11",29.7,7.6,5.1,24.7,34.8,2.2,36.9,74.5,16.8,28.7,57.5,"27.4"
"Monasterio, Andruw",655316,2023,26,"67.1",1.3,"6.7",9,0.1,50.4,34.4,"88.8","17.7",41.3,5.5,5.5,33,26.6,1.8,33.5,61,15.8,22.3,61.2,"28.0"
"Adams, Riley",656180,2023,27,"75.4",55.2,"8.1",8.8,-5,36.2,35.8,"89.9","18.1",42,5,12,31,26,3,41,71.2,17.7,34.4,49.5,"26.2"
"Chapman, Matt",656305,2023,30,"75.6",57.1,"7.6",8.8,-3.3,64,27.5,"93.4","18.5",32.4,17.1,7.8,29.2,27.2,2.3,56.4,66.6,27.2,18.9,54.4,"28.5"
"Fairchild, Stuart",656413,2023,27,"70.3",6.3,"7.4",13.3,-2.4,63.4,36.9,"85.9","14.3",32.3,7.7,9,23.2,31.6,7.1,29.7,75.7,24.9,24.4,35.7,"29.2"
"Garrett, Stone",656448,2023,27,"74.8",45.6,"7.9",11.3,-6.7,55.8,31.2,"91.1","17.3",37.6,9.6,9.6,26.1,19.1,3.2,48.4,75.1,23.8,33.6,50.8,"28.5"
"Joe, Connor",656582,2023,30,"73.8",37.7,"7.2",7,-7.9,41.6,30.5,"88.9","16.7",37.2,8.2,5.6,27,25.7,4.3,41.8,59.1,17.3,19.6,57,"27.1"
"McKinstry, Zach",656716,2023,28,"68.1",3.5,"6.9",12.3,-0.2,40.4,38.4,"87.2","17.8",37.1,7.6,5.9,31.2,26.1,4.8,33.5,68.1,11.9,27.1,59.7,"28.5"
"Mullins, Cedric",656775,2023,28,"71.1",8.7,"7.6",11.1,-8.5,62.5,28.4,"88.9","21.6",28.1,6.5,3.5,36.8,24.5,3.9,37.1,70.8,19.1,26.7,58.5,"28.0"
"O'Hearn, Ryan",656811,2023,29,"72.2",21.3,"7.1",9.1,2.5,43.6,33.9,"91.9","12",35.1,10.1,7.8,22,33.6,2.6,51.5,72.1,13.9,30.9,56.7,"27.7"
"Rivera, Emmanuel",656896,2023,27,"69.4",6,"7",8.5,-0.6,50.9,34.3,"90.7","11.2",35.6,5.9,7.8,23.9,33.7,1.5,46.3,68.7,16.3,27.1,50,"27.1"
"Schwarber, Kyle",656941,2023,30,"77.1",74.7,"7.9",13,-7.1,65.5,29.7,"92.4","19",34.3,16.4,6.7,30.8,27.1,2.1,48.8,55.8,22.5,21.6,47.9,"25.0"
"Smith, Pavin",656976,2023,27,"72.7",11.8,"7.5",12.6,-8.2,64.7,32.4,"89.9","13.8",34.9,7.5,7.5,27.4,33.6,1.4,41.8,58.1,10.2,23.2,56,"26.2"
"Thomas, Lane",657041,2023,27,"71.8",17.3,"6.9",10.5,-4,66.8,29.2,"88.5","10.8",36.8,9.6,6.5,22.9,31.2,5.4,40.7,61.1,12.7,27.2,55.4,"29.3"
"Verdugo, Alex",657077,2023,27,"67.6",2.9,"6.2",6.3,-1.4,46.8,29.2,"89.2","8.8",35.4,5,6.3,23.6,33.6,2.6,37.6,57.5,8.2,22.2,62.6,"27.3"
"Wong, Connor",657136,2023,27,"71.2",16.9,"7.2",13.3,2.1,47.5,33.6,"89.1","15.5",34,9.1,5.4,28.2,28.2,4.6,37.8,70.7,22.5,34.5,47.1,"28.3"
"DeJong, Paul",657557,2023,29,"69.5",3,"6.9",15,-4.1,53,36.2,"85.5","16.8",34.8,6.7,5.5,29.6,24.1,7.5,33.2,71.3,23.9,35.8,42.7,"26.8"
"Laureano, Ramón",657656,2023,28,"71.1",19.6,"6.9",12,1.8,44.4,36,"88.2","12.9",34.7,9.7,4.4,24.6,31.9,2.8,35.9,66.1,16.3,27,39.1,"27.9"
"Sheets, Gavin",657757,2023,27,"72.8",21.8,"7.7",8.3,-8.8,53,30,"88.1","16.9",29.7,5.2,6.4,34.9,31.7,4,32.5,68.1,14.3,29.8,64,"26.5"
"Olivares, Edward",658668,2023,27,"71",16.5,"7.3",10.2,-2.9,61.9,28.2,"87.3","12.2",34.2,7.9,7.5,24,32.9,4.8,37.7,70.8,13.5,31,55.9,"28.6"
"Moncada, Yoán",660162,2023,28,"74.3",43.5,"7.7",10.6,-2.2,45,38.6,"89.4","12.3",42.5,10.1,8.3,19.7,31.6,2.6,39,66.1,21.1,28.2,47.5,"26.4"
"Ohtani, Shohei",660271,2023,28,"77.4",74.4,"7.9",12.9,-2.5,50.9,35.3,"94.4","13.2",35.6,19.6,6.4,19.6,30.5,1.4,54.2,70.5,24,29.7,51.5,"27.8"
"Acuña Jr., Ronald",660670,2023,25,"77.3",70.3,"7.4",6.9,5,48.8,34.6,"94.7","7.4",33.6,15.3,9.1,14.9,34.3,2.5,55.2,70.7,14.4,22.6,68.2,"28.0"
"Ruiz, Keibert",660688,2023,24,"66.4",2.3,"7.1",9.7,-10.4,58.8,32.9,"87.4","15.3",39.4,5.8,4.9,29.8,29.3,3.4,31.9,66.6,8,36.5,74.9,"25.1"
"Montero, Elehuris",660707,2023,24,"75.3",51.3,"7.7",9.2,-14,36.5,35.3,"88.3","9.9",31.8,6.8,8,25,33,4.5,44.3,65.6,20.1,43.3,38,"26.6"
"Gonzalez, Oscar",660757,2023,25,"73.9",42.7,"7.2",4.9,-0.4,38,31.7,"88.5","6.4",31.3,7.8,5.5,21.1,39.1,4.7,40.6,71.2,21.6,48.8,59,"28.0"
"Sánchez, Jesús",660821,2023,25,"74.3",48.3,"7",6.8,4.3,46.7,31.1,"90.4","5.6",32.9,12.2,4.7,12.9,36.1,5.5,46.3,68.8,21.1,31.4,52.5,"27.5"
"Contreras, William",661388,2023,25,"73.8",45,"7.3",9.7,2.2,64.3,27.5,"91.3","4.7",27.1,9.4,6.2,16.8,41.5,3.6,48.7,62.6,21,24.7,55.4,"26.5"
"Varsho, Daulton",662139,2023,26,"74.7",47.4,"7.8",10.3,-4,56.4,29.4,"87.8","20.5",34.3,7.3,7.3,32.6,23.7,10.1,36.1,70.5,17.1,28.1,54.8,"28.1"
"Perkins, Blake",663368,2023,26,"69.3",5.8,"7.1",9.4,-1.8,64,29,"85.8","14.8",31.3,5.1,5.1,32.3,30.3,8.1,29.3,55.3,18.8,16.8,62.7,"30.0"
"Nootbaar, Lars",663457,2023,25,"72.3",23.2,"7",9.1,-1.9,63.3,30.3,"89.1","7.2",30.8,8.8,5.4,19.3,36.9,3.6,37.8,53.4,13.5,17.1,65.7,"27.8"
"Hoerner, Nico",663538,2023,26,"68.8",2.6,"7.1",4.8,-0.5,43.5,32.8,"86.6","10.5",33.2,1.8,4.2,25.8,38.4,4.6,33.4,60.5,6.8,30.5,76,"28.5"
"Riley, Austin",663586,2023,26,"76.3",65.5,"7.5",9.7,-2.7,47.9,33.9,"92.3","13.5",35.2,13.9,7.8,24,28.6,1.9,49.2,69.9,20.9,27.3,55.4,"28.1"
