"last_name, first_name","player_id","year","player_age","avg_swing_speed","fast_swing_rate","avg_swing_length","attack_angle","attack_direction","ideal_angle_rate","vertical_swing_path","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_contact_percent","sprint_speed"
"Peguero, Liover",678894,2023,22,"73.1",28.8,"7.3",4.7,-5.5,39.7,27.3,"89.3","4.1",27.6,5.2,3.7,18.7,40.3,5.2,39.6,72.9,20.4,28.4,45.5,"29.3"
"Rojas, Johan",679032,2023,22,"70.3",13.6,"7.3",6.4,-1.4,53.9,23.6,"86.6","7.3",29.2,0.9,2.7,20.4,33.6,13.3,28.3,67.5,14.9,40.4,54.5,"29.5"
"Torkelson, Spencer",679529,2023,23,"75.1",50.5,"7.6",10.9,-8.2,55.6,31.5,"91.8","17.1",33.2,14.1,7,29.3,26.4,1.4,50.9,67.6,17.6,23.6,54.1,"27.4"
"McLain, Matt",680574,2023,23,"70.3",9.6,"7",13.8,0.5,52.2,33.3,"89.3","13.8",39.6,10.8,7.6,23.6,25.2,5.2,42.4,57.7,19.9,25.4,52.9,"29.0"
"Kwan, Steven",680757,2023,25,"64.1",0.2,"6.4",2,0,31,34.9,"86","10.7",37.7,1.1,2.8,26.3,38.1,2.5,18.8,59,6,21.3,72.7,"28.1"
"Duran, Jarren",680776,2023,26,"73.5",35.2,"7.7",5.1,0.4,40.4,31.4,"89.9","10.7",32,5.3,9.8,21.7,31.6,4.1,46.3,73.2,13.9,30.1,49.8,"29.5"
"Jeffers, Ryan",680777,2023,26,"73.9",43.7,"7.7",11.8,-3.8,49.8,31.8,"90.5","17.2",34.2,11.6,5,27.1,24.1,7.5,42.7,62.1,20.2,30.3,54,"26.5"
"Davis, Henry",680779,2023,23,"73.2",32.2,"7.2",10.6,-13.9,60.2,26.8,"88.6","12.5",35,7,5.7,26.1,29.3,6.4,41.4,62.8,14.8,29,50.6,"28.2"
"Gelof, Zack",680869,2023,23,"71.5",11.4,"7.1",16,4.3,56,34.7,"89.8","11.8",38.6,11.1,7.9,21.7,30.7,3.7,41.3,71.6,27.6,28.9,51.2,"29.0"
"Miller, Owen",680911,2023,26,"69.2",4.4,"6.6",10,-1.2,53.3,33.1,"86.3","12.9",34.2,3.4,6,29.9,29.9,3.8,30.8,63.8,13.4,31.5,70.6,"29.0"
"Donovan, Brendan",680977,2023,26,"69.4",2.5,"6.8",5.2,5,42,30.8,"89.3","10.6",37.3,5.8,7.6,19.6,33.3,4,40.6,63.4,9.2,22.9,69.9,"27.1"
"Stott, Bryson",681082,2023,25,"68",0.7,"7",6.3,6.5,48.7,32.2,"88.1","10.1",36.4,4.7,5.3,25.1,35.6,2.8,35.2,59.1,11.3,29.5,76.1,"28.8"
"O'Hoppe, Logan",681351,2023,23,"70",8.2,"7.4",16.2,-8.5,54.3,31.6,"90.5","19.6",31.9,15.6,6.7,26.7,29.6,0.7,46.7,70.2,18.9,33.9,42.1,"27.9"
"Carpenter, Kerry",681481,2023,25,"70.6",9.2,"7.4",15.4,3.4,53.6,34.3,"90.1","13.1",37.2,10.2,8.6,21.4,29.3,2.3,44,72.2,18.5,33.4,55.7,"28.1"
"Outman, James",681546,2023,26,"73.4",33.7,"7.8",11.3,-2.4,46.3,35.3,"87.9","15.7",38.2,11.1,3.9,25.5,25.5,6.2,39.9,68.6,26.7,25.3,38.7,"28.9"
"Alvarez, Francisco",682626,2023,21,"74.6",48.5,"7.4",8.5,-2.7,55.3,29.2,"90.1","12.5",28.6,12.8,8.1,24.9,36.6,3.3,45.1,65.9,23.1,26.1,48.4,"26.4"
"Matos, Luis",682641,2023,21,"72.2",21.4,"7.1",2,-1.3,37.9,24.5,"87.1","6.3",38.6,2,7.1,23.9,37.1,6.1,31,69.9,9.4,25.4,63.3,"27.7"
"De La Cruz, Elly",682829,2023,21,"76.7",65.6,"7.5",6.4,1.6,42,36.4,"91.2","3.6",30.5,8.5,4.5,12.6,44.3,2.4,45.9,60.7,19.4,32.8,54.5,"30.5"
"Rodríguez, Endy",682848,2023,23,"69.9",8.6,"7.2",10.3,-5.3,53.4,33.1,"89.1","16.5",35.5,5.1,8,31.9,28.3,2.2,36.2,68.1,12.7,26.4,57.9,"27.8"
"Abrams, CJ",682928,2023,22,"71.6",20.7,"7.3",10,0.2,52,28.5,"87.4","13.5",32.6,6.9,7.5,26.2,31,6.7,35.9,72,15.7,35.1,63.8,"28.6"
"Greene, Riley",682985,2023,22,"75.5",53,"7.2",12.5,3,39.4,43.2,"91.6","6.6",36.8,11.3,8.3,12.4,35.3,2.3,47.3,68.4,20.4,26.5,53,"28.1"
"Carroll, Corbin",682998,2023,22,"73.3",30.1,"6.8",5.5,1.7,46.2,26.2,"90","11",32.7,7.6,7.8,22.7,34.2,5.3,40.9,65.3,14.4,28,62.8,"30.1"
"Henderson, Gunnar",683002,2023,22,"75.5",57.6,"7.3",10.3,2.5,49.4,32.9,"92","11.4",32.9,11.4,7.9,20.8,32.9,3.5,52,66.7,20.4,26.6,58.4,"28.8"
"Volpe, Anthony",683011,2023,22,"70.9",9.1,"7.1",12.5,-2,57.2,33.7,"88.7","14.2",35.5,9,7.7,23.9,31.3,5,43,67.2,19.3,28.7,50.7,"28.4"
"Baty, Brett",683146,2023,23,"75.8",58.1,"7.7",9.2,1.2,46,37.7,"89.5","6.6",33.3,7.7,6.5,18.3,37.8,5.3,44.3,64.3,21.7,27.6,44.4,"27.3"
"Vaughn, Andrew",683734,2023,25,"70.2",10.5,"7.6",9.7,-5.5,57.3,29.5,"90.6","11.2",30.3,8.4,7.3,23.9,33.7,2.5,46.5,64.8,13.4,31.7,56,"25.5"
"Frelick, Sal",686217,2023,23,"67.3",2.7,"7.1",6.3,0.8,44.5,27.2,"83.3","8.1",29.3,2.5,2.5,23.6,42,5.1,23.6,58.3,9.4,29,75.9,"28.6"
"Pasquantino, Vinnie",686469,2023,25,,,,,,,,"89.3","17.4",37.8,7.5,8.5,29.9,23.4,3,40.3,62.8,9.2,32.4,68.8,"25.8"
"Canzone, Dominic",686527,2023,25,"70.9",12.6,"7.2",17.6,-2.7,47.1,35.3,"89.7","16.3",31.9,12.1,6.4,25.5,27.7,3.5,42.6,67.1,16.8,41.8,60.6,"26.7"
"Doyle, Brenton",686668,2023,25,"71.2",12.2,"7.2",14.4,3.1,60.9,32.7,"88.3","11.7",29.9,8.7,4.3,22.8,34.6,9.8,35,73.8,24.3,32.2,38.7,"29.9"
"Massey, Michael",686681,2023,25,"70.8",9.5,"7.2",12.2,-5.8,57.8,33.6,"88.6","19.7",38,7.8,7.5,32.9,21.6,4.2,39.5,72.5,13.7,32.3,58.6,"27.3"
"Brennan, Will",686823,2023,25,"68.2",2,"6.9",2.6,4.4,33.7,33.3,"85.7","9.4",35.8,2.4,2.9,22.8,35.5,5.6,29.2,73.4,13.1,38.2,70.9,"28.3"
"Wiemer, Joey",686894,2023,24,"71.7",21.4,"7.4",9.8,-8.4,63.7,23.6,"89.3","10.5",28.9,9.1,4.3,25.7,37.9,4,39.1,65.9,25.1,29.1,47.9,"28.9"
"Neto, Zach",687263,2023,22,"69.4",6.7,"7.2",18.2,-4.5,48.1,36.1,"89.1","14.5",33.8,8.8,7.4,29.6,28.7,4.2,40.3,69.8,19.4,25.2,44.7,"27.7"
"Encarnacion-Strand, Christian",687952,2023,23,"73.4",33,"7.3",14.3,-1.1,48.8,36.4,"90.3","18.6",38.6,10.5,8.5,26.1,20.3,5.2,48.4,70.9,18.3,36.5,51.4,"27.6"
"Walker, Jordan",691023,2023,21,"74.9",54.3,"7.8",5.3,-7.8,40.9,36.6,"89.4","10.2",33.6,7.5,7.9,21.4,33.3,5.3,42.5,72.4,18.7,33.2,48.1,"28.5"
"Colás, Oscar",693049,2023,24,"75.5",57.1,"7.7",7.5,-4,40,33.3,"88.9","7.1",28.1,7.9,5.1,22.5,34.8,6.2,40.4,70,19.8,39.9,50,"27.0"
"Yoshida, Masataka",807799,2023,29,"71.4",19.8,"7.3",5.9,0.5,40.4,31.1,"89","3.9",29.5,6.6,3.9,17.2,41.9,3.9,40.6,58.6,13.5,27.3,71,"26.2"
"Peralta, David",444482,2024,36,"71.4",19.3,"7.2",5.9,-1.8,41.7,31,"88.1","8.9",36.8,5.5,4.9,18.7,39,4.4,42.3,70.6,16.9,32.6,49.4,"26.9"
"Blackmon, Charlie",453568,2024,37,"67.4",2.4,"7.1",9.6,-5.8,55.7,31.1,"84.8","16.3",34.1,5.2,4.4,29.7,27.7,4.7,27.2,66.2,13.3,29.5,67.3,"27.4"
"Solano, Donovan",456781,2024,36,"67.1",1.4,"7",8.6,-1.5,45.4,35,"87.3","13.7",37,3.7,7.3,21.9,31.1,4.1,37.4,63.8,13.6,29.6,54.1,"25.5"
"McCutchen, Andrew",457705,2024,37,"72.7",25.3,"7.6",12.7,-0.2,56.4,33.4,"88.5","14.3",31.9,12,5.7,26.8,32.8,3.5,36.9,65.6,22.3,17.2,44.8,"26.8"
"Turner, Justin",457759,2024,39,"65.1",0.8,"6.3",9.3,-0.4,52.3,34.5,"87.1","17.8",40.1,4.6,6.7,32,23.9,3.2,32.5,65.6,11.5,25.2,68.7,"25.4"
"Santana, Carlos",467793,2024,38,"71.8",19.4,"7.6",11.8,-5,63.3,27.1,"89.2","16.1",30.9,7.3,6.6,32.3,27.8,2.6,39.9,64.9,16.6,23.4,59.7,"25.9"
"Rojas, Miguel",500743,2024,35,"67.9",4.2,"7",3.9,-4.5,37.7,31.1,"85","9.7",33.2,2.5,2.2,22.4,35,7.6,27.8,65.3,8.5,27.3,73,"25.8"
"Pham, Tommy",502054,2024,36,"72.6",21.8,"6.9",7.6,3.2,53.5,27.8,"90.4","11",32.2,7.2,7.8,23.6,32.2,2.7,42.7,59.8,15.9,18.7,53.8,"27.2"
"Martinez, J.D.",502110,2024,36,"73",28.6,"8.4",12.5,-0.1,49.3,38.7,"91","14.4",39.3,14.9,4.4,23.7,27.5,2.4,46.1,69,18.2,29.8,40.1,"25.8"
"Goldschmidt, Paul",502671,2024,36,"72.5",24.3,"7.8",11,2,53.3,32,"91.2","13.1",34.3,10.7,8.9,22,29,2.3,49.6,65.1,22.1,29.6,60.3,"26.3"
"Altuve, Jose",514888,2024,34,"69.4",13,"7.8",16.5,-4.1,49.4,30.2,"86.5","14.1",35.4,6.5,3.9,24.4,28.7,7.9,31.2,68.6,12.7,37.3,63.7,"27.1"
"Marte, Starling",516782,2024,35,"72.4",25.5,"7.3",8.3,1.4,47.7,36,"89.8","4.3",37.1,6.9,7.3,12.4,40.5,6.9,42.9,69.1,18.4,30.2,47.3,"27.1"
"d'Arnaud, Travis",518595,2024,35,"71.4",20.7,"7.8",12.8,1.1,57.1,32.3,"89.9","11.6",32.9,10.4,7.2,20.7,35.6,3.2,41,74.5,26.4,27.3,50,"25.7"
"Freeman, Freddie",518692,2024,34,"69.8",10.1,"6.8",7.9,1.4,40.3,42.5,"89.4","14.3",43.1,9.1,8.4,26,26,5.3,41.8,73.8,16.6,26.6,71,"25.8"
"Grandal, Yasmani",518735,2024,35,"70.3",8.5,"7.4",10.4,0.1,66,26.5,"91.1","11.1",31.8,9.8,6.4,22,34.7,2.3,42.8,54.2,14.9,25.5,67.3,"23.2"
"Heyward, Jason",518792,2024,34,"73.2",27.3,"8.2",11.2,-8.5,64.3,27.3,"88","10.4",29.8,5.6,3.4,24.2,37.1,5.1,41.6,68.1,13.9,32.2,55.9,"26.8"
"LeMahieu, DJ",518934,2024,35,"67.3",5.3,"7.1",6.3,8.7,53,27.6,"88.5","1.9",31.8,5.8,7.5,16.2,45.1,2.9,37.6,59.5,8.2,29.1,62.5,"26.1"
"Rizzo, Anthony",519203,2024,34,"68.5",8.1,"6.8",9.4,-4.7,53.4,33.3,"86.7","14.3",31,4,4.7,27,32.1,3.6,33.2,65.9,10.6,33.6,64.9,"24.5"
"Stanton, Giancarlo",519317,2024,34,"81.2",98.6,"8.6",8.7,-2.7,60.4,26.2,"94.6","14.7",34.8,20.7,6.5,22.8,27.2,4,55.3,63.6,25.1,31,48,"24.6"
"Perez, Salvador",521692,2024,34,"73.2",33.3,"7.9",13.7,-6.9,53.6,34.8,"91.1","19",39.4,12.2,6.6,31.5,23.3,2.6,44.8,77.3,18.3,42.9,59,"24.5"
"Flores, Wilmer",527038,2024,32,"66",2.1,"6.9",10.7,-6.1,55,31.7,"83.5","21.4",36.6,5.9,5.4,35.5,26.3,4.8,27.6,60.6,7.2,28.5,72.9,"24.0"
"Ozuna, Marcell",542303,2024,33,"74",42.5,"7.4",15.4,-2.6,53.2,36.5,"92.1","14.4",40.5,15.5,11.4,19.1,25.2,3.4,53.4,72.5,22.6,26.5,49.6,"25.7"
"Grossman, Robbie",543257,2024,34,"67.5",2.2,"6.5",12.1,-4,49.2,35.1,"86.3","13.3",30.3,3.3,4.6,28.9,36.2,2,27.6,57,17.7,15.7,59.3,"27.7"
"Higashioka, Kyle",543309,2024,34,"71.8",17.1,"7.3",13.2,-9.3,61.6,32.3,"88.4","20.7",40.2,10.9,9.2,33.3,20.7,5.7,37.4,64.8,16.9,28.1,54.7,"25.4"
"McCann, James",543510,2024,34,"70.7",10.9,"6.9",10,-1.1,46.1,38.5,"87.4","14.4",38.9,8.6,9.3,24.7,29.6,5.6,37.7,69.6,17.9,33.6,51,"25.1"
"Rendon, Anthony",543685,2024,34,"68.3",1.9,"6.7",8.3,-3.1,51.5,33.4,"87.9","14.1",31.4,2.3,8.6,30.3,32,2.9,37.1,59.4,8.6,17.4,71.8,"26.8"
"Semien, Marcus",543760,2024,33,"68.3",4.2,"7.7",13.3,-6.7,57.4,32,"87.4","17",33,6.6,4.8,31.1,26.7,4.8,35.2,75.9,11.8,25.3,55.9,"28.5"
"Springer, George",543807,2024,34,"71.9",22.4,"7.4",10.8,1,52.2,33.8,"87.5","9.4",29.2,9.3,4.4,21.3,36.3,6.5,37.4,73,18.6,23.5,52.7,"28.1"
"Vázquez, Christian",543877,2024,33,"68.3",2.8,"7",10.4,-2.6,62.5,27.8,"88.5","16.1",36.1,3.8,6.3,29.8,27.3,4.6,36.6,68.4,14,34.2,64.9,"24.8"
"Vargas, Ildemaro",545121,2024,32,"69.6",8.4,"7.2",3.7,-1.3,44.2,24.1,"87","4",29.5,1.2,4,21.5,42.2,6.4,31.9,62.8,6.6,30.1,75,"26.7"
"Grichuk, Randal",545341,2024,32,"73.7",35.4,"7.7",9.2,-8.3,62.6,28.3,"90.6","17.3",34.3,11,7.6,31,23.8,3.3,47.6,67.6,11.3,28.6,59.9,"27.5"
"Harper, Bryce",547180,2024,31,"74",41,"7.3",11.4,-1.1,44.4,36.1,"91.1","13.5",36.1,10.6,9.6,24.6,26.5,2.7,48.2,78.2,14.9,33.5,52.4,"27.4"
"Díaz, Elias",553869,2024,33,"73.9",41.4,"7",5,-3,45.4,28.6,"87.1","7.6",31,4.7,4.3,20.9,39.9,4.7,34.5,76.1,18.4,33.2,52.2,"24.4"
"Suárez, Eugenio",553993,2024,32,"72.2",21.5,"7.8",17.5,-3.8,50.2,38.6,"89.1","19.5",40.4,11.3,8.9,28.8,20.4,4.7,42.4,66.8,18.8,27,44.8,"26.5"
"Urshela, Gio",570482,2024,32,"68.2",4.1,"7.1",9.2,5.1,49.3,35,"86.4","10.5",38.6,4.9,5.2,21.9,36.4,3.8,28.4,72.7,15.8,36.4,70.4,"25.1"
"Arenado, Nolan",571448,2024,33,"70.7",12.8,"8.2",11.3,-7.4,55.8,33.3,"86.3","16.9",35.9,3.2,5.1,30.6,28.2,4.5,31.6,63.9,9.8,30,67.3,"25.3"
"Farmer, Kyle",571657,2024,33,"66.7",1.7,"6.8",12.3,-2.6,46.2,31.3,"87.7","17.9",36.3,5.4,6,35.7,24.4,3.6,29.8,63.2,13.5,32.7,60.4,"25.9"
"Haniger, Mitch",571745,2024,33,"72.9",26.1,"7.1",14.7,-0.8,55.1,32.4,"90.6","13.7",31,9,8.2,25.1,30.2,3.1,45.9,63.6,23.6,23.9,44,"26.2"
"Hernández, Enrique",571771,2024,32,"71.7",19.4,"7.4",7.6,-1.9,49,28.3,"89.6","17.1",36,4.8,8,31.1,30.1,2.8,41.5,69,17.3,26.4,60.8,"27.0"
"Maile, Luke",571912,2024,33,"67.7",1.3,"6.7",14.5,-2.7,54.1,34.1,"84.7","11.3",37.6,3.5,4.7,25.9,32.9,7.1,24.7,66.3,16.9,26,43.7,"25.5"
"Muncy, Max",571970,2024,33,"71.3",14.9,"7.2",18.2,-4.9,44.4,35,"90.2","26.6",32.5,10.8,11.4,36.1,16.3,2.4,43.4,63.7,23.8,20.3,49.2,"26.9"
"Singleton, Jon",572138,2024,32,"72.1",24.2,"7.1",11,-11.5,58.6,30,"88.7","12.8",34.8,8.9,4.5,29.6,27.1,4.5,37.2,59.8,21,22.7,47.4,"25.9"
"Taylor, Michael A.",572191,2024,33,"74",40.9,"7.2",14.3,0.1,48.3,31.3,"89.3","13.7",31.4,11.6,1.7,26.2,26.2,8.1,40.1,68,27.1,30.4,33.5,"28.5"
"Walker, Christian",572233,2024,33,"75",52.7,"7.5",8.7,-3.7,46.9,30.3,"91.2","16.6",35,13.3,7.1,28,25.1,3.1,48,73.1,17.5,24.3,51.2,"26.2"
"Carpenter, Matt",572761,2024,38,"69.3",3.5,"8.1",16.2,-4,57,37.6,"85.8","24.2",46.6,6.8,8,35.2,17,5.7,28.7,62.2,19.2,20.3,37.5,"24.6"
"Yastrzemski, Mike",573262,2024,33,"70.9",5.5,"7.6",12.4,-1.6,66.2,31.2,"90.4","19.1",33,10.5,6.5,33.7,22.2,4.2,41,63.7,20,23.8,56.8,"27.2"
"Contreras, Willson",575929,2024,32,"75.9",61.6,"7.9",9.9,-1.6,50.3,31.5,"91.6","14.2",32.7,11.2,6.8,22.9,28.8,2.4,46.8,71.2,22.2,29.9,36.4,"27.1"
"Iglesias, Jose",578428,2024,34,"69.8",9.2,"6.8",5.5,-1.5,42.3,31.8,"85.8","9",36.2,2.2,4.3,20.3,34.5,6,30.6,64.8,12.1,39.5,79.3,"28.6"
"Bryant, Kris",592178,2024,32,"69.5",2.7,"7.9",16.1,-4,53.4,37.8,"85.1","18.5",39.5,4.7,3.5,29.1,24.4,7,30.2,66.5,23.8,31.2,38.6,"25.7"
"Canha, Mark",592192,2024,35,"68.4",4,"7.2",10.9,1.4,60.8,31.8,"88.4","9.6",31.5,3.3,5,25.5,40.4,3,37.4,59.4,17,23.6,66.2,"27.8"
"Castellanos, Nick",592206,2024,32,"71.9",22.8,"7.6",12.7,-5.2,47.2,38.9,"88.4","15.2",39,8.1,6.8,27.3,25.4,2.8,38.2,79,19.4,37.8,48.1,"27.4"
"Drury, Brandon",592273,2024,31,"72.6",23.1,"7.4",8,2.8,55.9,31.6,"87.6","6",25.9,3.6,6.1,20.6,45.3,4,35.6,66.2,18.3,26.5,59.9,"26.0"
"Judge, Aaron",592450,2024,32,"77.1",74.8,"8.2",14.4,-4.5,51.3,39.8,"96.2","19",40.8,26.9,8.5,22.8,20.3,1.3,61,67.4,22.6,18.7,42.7,"26.8"
"Machado, Manny",592518,2024,31,"75.2",52.6,"7.8",6.8,-0.2,54.3,25.6,"92.5","12.7",33.8,11,5.9,24.3,32.3,1.7,48.8,72.3,16.3,29.8,54.9,"25.8"
"Pederson, Joc",592626,2024,32,"73.4",37.3,"7.7",10,-5.1,53.9,31.3,"92.3","16.9",34.2,12.8,5.6,25.9,26.7,2.6,46.2,60.7,17.9,29.5,62.4,"25.5"
"Realmuto, J.T.",592663,2024,33,"73.2",35.7,"7.6",13.2,1.6,52.2,35.2,"89.2","9.4",36.9,10.4,9.7,17.2,33,5.7,46.6,69.4,17.5,30.3,52.6,"28.4"
"Renfroe, Hunter",592669,2024,32,"75.2",52.8,"7.6",9.1,-9.9,66.2,25.7,"88.5","16.7",27.8,6.6,6.3,32.5,27.8,4.6,39.4,62.7,15.3,26.3,57.3,"26.7"
"Rosario, Eddie",592696,2024,32,"70.3",7.3,"7.2",12.4,-1.3,60.5,31.8,"91","14.3",27.9,5.3,10.6,28.8,29.6,2.2,42.5,71.9,20,35,57.9,"27.3"
"Yelich, Christian",592885,2024,32,"73.2",34.5,"7.5",10.5,2.7,44,35.2,"91.1","5.2",32.2,7.9,8.9,15.4,35,5.1,46.7,69.9,15.1,24.9,57.4,"28.5"
"Merrifield, Whit",593160,2024,35,"63.4",0.2,"6.9",10.1,0.1,47.6,35.1,"84.1","12.9",34.3,2.4,3.3,29.4,29,8.2,21.6,66.2,11.9,25.8,65,"29.0"
"Bogaerts, Xander",593428,2024,31,"70.7",15.3,"7.2",10.2,-2.8,53.9,31.6,"88.1","10.9",32.1,5.1,3.4,24.8,36.1,2.8,33.2,59.9,11.4,25.7,62.7,"27.4"
"Polanco, Jorge",593871,2024,30,"69.7",7.9,"7.2",13.7,-7.5,47.1,36.9,"88.3","17.9",35.8,8.9,5.3,30.1,23.8,5.7,37.2,66.3,21.7,24,54.7,"27.5"
"Duvall, Adam",594807,2024,35,"72.4",23.1,"7.6",15.6,-9.9,58.3,31.9,"86.9","22.2",27.8,10.7,4.9,37.6,20.5,6.8,36.6,65.4,15.8,33.5,50.2,"28.1"
"Kiermaier, Kevin",595281,2024,34,"70.4",11.3,"7.1",5.5,-0.7,40.9,30.7,"86.4","7.3",27.6,3.9,5,19.3,38.1,9.9,30,76.2,29.5,33.2,44.3,"28.7"
"Profar, Jurickson",595777,2024,31,"71.7",22.7,"7.3",8.9,-3,50.4,32.5,"91.1","13.4",31.3,7.2,4.9,25.2,29.8,3.8,44.4,68.6,12.1,22,66.9,"26.5"
"Báez, Javier",595879,2024,31,"74.8",49.4,"8.6",11.3,-6.7,57.4,30.5,"88.3","11.2",27.7,7.8,6.3,25.7,37.9,3.4,40,64.9,17.7,43.2,56,"27.5"
"Cave, Jake",595909,2024,31,"69.5",7.2,"7",11.5,3.4,44.5,35.8,"87.5","7.5",35.8,5.2,5.2,22.3,33.2,7,37.1,70.9,20.9,33.5,55.5,"27.7"
"Lindor, Francisco",596019,2024,30,"72.4",23.6,"7.6",13,-1.5,56,34.2,"90.9","17",35.4,13.6,5.7,27.3,23.5,3.4,47.4,69.9,17.5,26.3,59,"27.6"
"Slater, Austin",596103,2024,31,"71.9",20.7,"6.8",11.9,9.1,45.2,38.8,"88.2","7.2",37.2,3.3,6.6,15.7,33.1,7.4,37.2,66.2,24.7,18.6,51.2,"28.2"
"Stubbs, Garrett",596117,2024,31,"66.6",1.6,"7.1",11.1,-8.5,53.9,28.3,"79.7","19.4",40.9,0,4.3,32.2,23.5,15.7,9.6,66.8,15.9,32.8,57.3,"28.0"
"Sánchez, Gary",596142,2024,31,"73.1",31.8,"7.4",11.8,-7.2,60.9,30,"90","16.2",31.4,10.5,7.6,29.1,28.5,2.9,44.2,55.1,20.9,26.9,51.2,"24.8"
"Kepler, Max",596146,2024,31,"71.4",19.4,"7.5",7.1,-8.8,44.1,31.1,"88.9","16.8",35.4,6.2,7.2,35.1,24.1,2.7,36.8,74.3,15.2,30.5,53.5,"26.8"
"Candelario, Jeimer",600869,2024,30,"68.4",5,"7.8",13.9,-5.6,52.3,34.5,"86.9","12.4",33.9,8.2,5.7,25.9,32.6,5.4,34.5,70.1,20.9,34.6,55.5,"27.4"
"Urías, Ramón",602104,2024,30,"70.5",12.4,"7.5",11,3.1,65.2,24.9,"88.3","12.8",32.6,8.7,5.5,28,29.8,3.2,38.5,74.2,20.5,25.8,55.6,"26.9"
"Ahmed, Nick",605113,2024,34,"67.9",0.5,"7.3",13.9,-2.8,60.5,28.6,"84.9","13.4",29.7,3,6.1,26.1,33.9,9.7,23,69.6,21.7,36.1,64,"27.7"
"Barnes, Austin",605131,2024,34,"68.2",2.2,"6.4",4.5,1.1,41.6,26.6,"86.3","9.5",30.2,1.9,3.8,21.7,40.6,4.7,31.1,69.8,15.7,19.6,46.2,"25.8"
"Bell, Josh",605137,2024,31,"70.4",15,"7.9",9.2,1.3,53.5,35.1,"88.9","10.5",31.4,7.6,6.2,22.6,37.3,4.3,40.1,73.4,18.8,27.4,54.4,"25.4"
"Betts, Mookie",605141,2024,31,"69",9.6,"6.9",8.9,-4.2,52.8,34,"89.9","21.4",39.3,6,10.1,35,19.1,1.5,39.5,60.8,6.1,21.1,61.3,"26.7"
"Caratini, Victor",605170,2024,30,"71.9",23.5,"7",9.4,-1.1,47.9,35.8,"91.2","9.3",35.9,5.6,6.2,23.1,36.4,1.5,43.1,67.5,15.3,25.8,55,"24.4"
"Davis, J.D.",605204,2024,31,"72.5",18.1,"7.3",7.3,11.5,53.4,31.4,"89.1","2.8",24.3,8.7,5.8,15.5,47.6,4.9,43.7,74.4,31.1,24.7,52.2,"25.6"
"Martini, Nick",605361,2024,34,"69.8",6.8,"6.9",11.3,-2.7,57.6,29.6,"87.4","14.9",32.4,7.2,1.8,31.5,32.4,7.2,34.2,68,18.1,29.7,58.4,"27.4"
"Arcia, Orlando",606115,2024,29,"70.9",13.5,"7.9",8.4,-3,62.7,25.4,"88.2","8.6",29.9,5.3,6.5,25.8,40.4,3,37.8,70.8,17.7,27.6,50.6,"25.6"
"Hernández, Teoscar",606192,2024,31,"73.2",31.7,"7.8",9.1,0.9,51.5,32.7,"90.6","10.3",33.8,14.9,7.5,20.4,33.1,3.5,46.8,74.7,24.9,28.7,43.5,"28.6"
"Marte, Ketel",606466,2024,30,"73.7",40.6,"7.6",9.1,-4.9,53.6,33.7,"94","9.4",33.7,12.3,7.4,18.2,35.4,2,53.8,71.3,14.1,26.1,60,"27.1"
"Nimmo, Brandon",607043,2024,31,"73.3",34.8,"7.3",6.6,-0.3,50.6,29.2,"91.9","11.2",33.7,9.1,6.5,24,33.7,1,47.4,65.6,15.2,24.1,54.5,"28.0"
"Turner, Trea",607208,2024,31,"71.6",17.1,"7.6",11,-5.4,61.4,29,"89.1","11.5",30.9,6.9,5.6,25.5,35.5,2.7,40.7,74.8,14.2,33.9,49,"29.6"
"Pillar, Kevin",607680,2024,35,"69.4",5.7,"7.6",11.5,-8.4,58.1,32.5,"84.6","17.9",36.5,3.7,7.8,35.2,25.6,5,29.7,67.8,14.4,37.9,58.5,"28.4"
"Stallings, Jacob",607732,2024,34,"67.6",1.2,"7.2",12.5,-0.2,50.8,32.2,"86.6","12.8",38.9,7.2,7.2,21.1,30.6,5.6,34.4,64.4,20.7,25.5,46.3,"23.9"
"Ramírez, José",608070,2024,31,"71.6",18.9,"7.3",9.9,-9.6,63.8,30.7,"89.2","19.6",34,8.6,8.5,34.4,25.9,2.9,39.7,69,9.4,31.7,73.4,"28.2"
"Bregman, Alex",608324,2024,30,"71.3",11.9,"7",12.2,-2.9,68.7,28.5,"89.1","18.2",34.9,6.4,7.4,33.1,25.7,2.4,40.5,65.6,8.7,23.6,75.3,"26.7"
"Gallo, Joey",608336,2024,30,"72.4",22.8,"7.3",16.9,-11.5,51,31.6,"90.5","26.1",32.8,13.1,8.2,36.9,18.9,4.1,43.4,68.3,32.7,22,38.5,"26.5"
"Kelly, Carson",608348,2024,29,"69.5",5.9,"6.9",12.2,-2.5,52.5,33,"87.6","13.6",27.3,6.6,7.9,23.8,33,5.7,39.4,66.7,14,24.4,52.4,"25.6"
"Seager, Corey",608369,2024,30,"72.3",20.9,"6.6",12.3,-0.7,51.3,34,"92.1","13.5",38.6,15.2,9.7,22,28.1,1.8,50.7,79.5,13.5,27.8,49.8,"25.3"
"Winker, Jesse",608385,2024,30,"69.5",7.4,"7.3",12.2,7.6,59.7,35.3,"88.6","14",30.1,7.6,3.3,24,33.1,3.6,37.4,64.7,15,19,62.5,"26.1"
